R_gyr,L_gyr,R_acc,L_acc,SampleRate
0.381328779459000,-5.96795558929443,-4.39466514587402,-12.4051630020142,
0.305703902244568,-5.33561210632324,-5.00503540039063,-11.2625499725342,
0.214056819677353,-4.66396055221558,-5.09781179428101,-9.27274341583252,
0.115146332979202,-3.90899391174316,-4.63881311416626,-7.78832349777222,
0.000213629007339473,-3.19782090187073,-2.71248502731323,-6.11346740722656,
-0.103823966160417,-2.27878651618958,-0.0610370397567748,-3.10312185287476,
-0.205938903987408,-1.38282415866852,1.02542182803154,-2.42439036369324,
-0.286263608932495,-0.937192881107331,-0.402844333648682,-2.9590744972229,
-0.325144195556641,-0.582354211807251,-2.62947471141815,-1.78228085041046,
-0.374706262350082,-0.180303356051445,-3.62559885978699,-0.615253123641014,
-0.422345656156540,0.151463359594345,-4.18958096504211,-0.122074025869370,
-0.439222395420074,0.425977349281311,-5.06851377487183,0.471205782890320,
-0.441145062446594,0.732963013648987,-5.62272987365723,0.891140460968018,
-0.454817342758179,1.03332619667053,-5.69353303909302,0.795922708511353,
-0.450544744729996,1.33304846286774,-5.86443672180176,0.390636897087097,
-0.417859429121017,1.62273013591766,-6.15253124237061,0.295419168472290,
-0.375988030433655,1.89339880943298,-5.69597444534302,0.253913985937834,
-0.242683184146881,2.15936765670776,-5.38102340698242,-0.0537125736474991,
-0.147404399514198,2.45139923095703,-5.44206056594849,-0.625019049644470,
-0.133945742249489,2.73915829658508,-5.18570499420166,-1.43559064865112,
-0.117496263980865,3.00234980583191,-5.14419965744019,-2.27301840782166,
-0.111514633893967,3.25507369041443,-4.82924890518189,-3.0469678401947,
-0.0845973059535027,3.46143980026245,-4.69985046386719,-3.39609966278076,
-0.0403759866952896,3.59923090934753,-5.05874786376953,-3.53770551681519,
0.00747703500092030,3.68959627151489,-5.15152406692505,-3.84533205032349,
0.0615253120660782,3.74599447250366,-5.00503549575806,-4.69985008239746,
0.122196115553379,3.80111083984375,-4.99771099090576,-5.62272996902466,
0.0969878256320953,3.8248236656189,-5.10269470214844,-6.63106164932251,
0.0969878241419792,3.87289042472839,-5.40055541992188,-6.95577840805054,
0.109591965377331,3.94103817939758,-5.41032123565674,-7.62230262756348,
0.0967741891741753,3.99914541244507,-5.30777902603149,-8.40357666015625,
0.0681478291749954,4.10061931610107,-5.07095546722412,-8.62819232940674,
